bc,ac,tbv,tav,time,mp
7324815.39,228263426.14,753003.68,356206.73,1659557213402,23.98
7322397.76,228265736.99,752902.77,356303.10,1659557217019,23.98
7327354.21,228233712.88,752730.34,354982.65,1659557300885,23.96
7331788.99,228237247.99,752910.45,355124.81,1659557304254,23.97
7319498.80,228250638.63,752396.24,355683.07,1659557306983,23.97
7319498.80,228248960.73,752396.24,355613.07,1659557309782,23.97
7303429.27,228250998.18,751725.10,355698.07,1659557312596,23.97
7314070.12,228247467.78,752501.95,355540.88,1659557398921,23.99
7329055.23,228241729.74,753128.82,355296.62,1659557485836,24
7347418.72,228258045.28,753744.50,355860.49,1659557573243,24.03
7311276.87,228229644.09,752179.06,354685.21,1659557661453,24.01
7373472.54,228234733.39,754767.85,354892.18,1659557664258,24.03
7356157.05,228238311.16,754046.87,355040.58,1659557667259,24.03
7363403.36,228252868.56,754348.61,355645.97,1659557670146,24.03
7350667.74,228254933.65,753818.31,355732.31,1659557674020,24.03
7349346.47,228251967.50,753763.30,355608.70,1659557676361,24.03
7317732.27,228201816.05,752390.47,353520.02,1659557767941,24.04
7350116.77,228229160.83,753749.69,354658.53,1659557860627,24.02
7346554.19,228235871.45,753648.78,354964.70,1659557953293,24.01
7303128.17,228246964.28,751876.20,355419.77,1659558046087,24.01
7319736.81,228256518.80,752575.37,355819.26,1659558140007,24.01
7310644.70,228250912.46,752196.10,355587.38,1659558142657,24.01
7278092.42,228243145.33,750714.17,355426.09,1659558236886,23.94
7276179.65,228258192.24,750638.55,356056.68,1659558239666,23.93
7327585.46,228248358.98,753153.45,355619.16,1659558335681,24
7326453.56,228239470.68,752993.24,355190.62,1659558431884,24.02
7319825.25,228236024.52,752610.49,355039.51,1659558527878,24.02
7356352.87,228239292.25,754076.72,355130.49,1659558624857,24.02
7297719.79,228253125.50,751662.25,355733.48,1659558723133,23.98
7306957.61,228249464.00,752449.73,355711.45,1659558820537,23.92
7299726.82,228221568.91,752382.05,354639.22,1659558918307,23.9
7226100.36,228222600.31,748906.67,354732.01,1659559016864,23.93
7258813.31,228268199.71,750210.53,356611.73,1659559116205,23.92
7266493.93,228215134.95,750920.64,354389.94,1659559215393,23.95
7299062.25,228251014.74,752288.05,355881.55,1659559218231,23.95
7311778.01,228242011.01,752576.01,355380.56,1659559318785,23.99
7314151.67,228250163.30,752672.22,355711.82,1659559321611,24
7322896.15,228239846.40,752981.38,355199.00,1659559423094,23.98
7257547.76,228224272.85,749807.06,354628.97,1659559524318,23.98
7287741.00,228259747.84,751489.71,356038.81,1659559626357,23.98
7323303.58,228233536.41,753067.87,354960.04,1659559729492,24.01
7349523.05,228270216.55,754236.92,356518.11,1659559834396,23.95
7362307.18,228270375.54,754771.00,356524.74,1659559836130,23.95
7329060.00,228277323.99,753451.18,356886.21,1659559941940,23.93
7329060.00,228277323.99,753451.18,356886.21,1659559943166,23.93
7314237.47,228285265.32,752835.24,357257.67,1659559947165,23.92
7325128.57,228276275.27,753291.62,356908.07,1659559950236,23.91
7317707.59,228276545.35,752981.29,356919.53,1659559953302,23.91
7324971.23,228262992.98,753283.55,356352.51,1659559955851,23.92
7338033.56,228257284.46,753830.45,356114.05,1659559959253,23.92
7309964.19,228269665.05,752841.83,356702.45,1659560068674,23.92
7251065.83,228249197.62,750664.93,355886.65,1659560178832,23.87
7281160.82,228236625.55,751971.11,355364.34,1659560182318,23.88
7282072.25,228232959.18,752087.25,355288.50,1659560294375,23.85
7247148.66,228217200.82,750610.31,354715.64,1659560406853,23.85
7289246.92,228246878.87,752412.35,355937.20,1659560518625,23.88
7291465.02,228248240.66,752504.11,355994.88,1659560521934,23.89
7289100.51,228265945.63,752402.36,356735.61,1659560525264,23.88
7286015.92,228250872.60,752273.05,356105.36,1659560528350,23.88
7274398.26,228264459.64,751786.22,356674.57,1659560530640,23.88
7285794.47,228248590.11,751720.01,355923.49,1659560646681,23.91
7303751.62,228233673.93,752282.73,355229.85,1659560762928,23.91
7276975.16,228229840.12,751160.41,355067.80,1659560766076,23.92
7321938.63,228247899.77,753444.67,355836.20,1659560883316,23.89
7329051.39,228245236.21,753743.82,355724.73,1659560886069,23.89
7336984.90,228223817.65,754195.17,354837.78,1659561004669,23.88
7336332.72,228237480.76,754168.49,355409.19,1659561007699,23.88
7323932.97,228238559.64,753649.02,355454.34,1659561010426,23.88
7293899.51,228246597.75,752528.38,355882.96,1659561131110,23.84
7230452.72,228185693.94,749976.91,353404.79,1659561252103,23.82
7268490.03,228190940.87,751576.72,353625.31,1659561255109,23.82
7258487.82,228195081.73,751157.89,353799.01,1659561258229,23.82
7300695.45,228236529.02,752931.65,355533.93,1659561261016,23.82
7284740.53,228198253.85,752273.37,353972.53,1659561402577,23.84
7331856.47,228234105.16,754299.41,355514.70,1659561526747,23.85
7312111.07,228120878.58,753355.91,350811.26,1659561652339,23.88
7300192.67,228107109.81,752855.86,350235.80,1659561654089,23.88
7341235.98,228148900.48,754590.07,351974.77,1659561657018,23.88
7355164.47,228209564.34,755051.97,354344.27,1659561783496,23.88
7355108.70,228209264.23,755049.53,354331.72,1659561786722,23.88
7324154.42,228229243.14,753712.41,355153.06,1659561915284,23.9
7318091.71,228212522.79,753417.21,354442.75,1659562043884,23.89
7318091.71,228212913.37,753417.21,354459.75,1659562046421,23.89
7317681.83,228210927.52,753404.21,354378.36,1659562049630,23.89
7317681.83,228210927.52,753404.21,354378.36,1659562052733,23.89
7267869.38,228193958.13,751320.18,353686.53,1659562184262,23.87
7269538.55,228193824.39,751390.07,353681.77,1659562187285,23.87
7236669.24,228193824.39,749612.94,353681.77,1659562190105,23.87
7236669.24,228193824.39,749612.94,353681.77,1659562193507,23.87
7227548.83,228193824.39,749228.57,353681.77,1659562195994,23.87
7276471.33,228226237.11,751238.13,355017.48,1659562331122,23.9
7273592.35,228206533.65,751056.18,354134.18,1659562466979,23.92
7273313.22,228233813.72,750981.72,355216.06,1659562603029,23.92
7287353.38,228221928.22,751597.95,354732.16,1659562739936,23.9
7304157.64,228216885.07,752386.25,354581.76,1659562879551,23.9
7297422.24,228229746.04,752143.56,355116.99,1659563017443,23.9
7279370.34,228229746.04,751375.45,355116.99,1659563020283,23.9
7263042.56,228229418.38,750631.44,355129.84,1659563159180,23.9
7263042.56,228229418.38,750631.44,355129.84,1659563163110,23.9
7248083.64,228226612.11,750030.08,355012.76,1659563303617,23.88
7249764.98,228227716.09,750100.66,355058.97,1659563306855,23.88
7248058.07,228221926.91,750029.62,354828.88,1659563449380,23.88
7249606.36,228204104.34,750312.15,354214.63,1659563591397,23.83
7244051.26,228202459.45,750125.63,354184.57,1659563734107,23.83
7266965.62,228221555.21,751223.51,355013.60,1659563876667,23.82
7246519.19,228231022.89,750455.53,355520.59,1659564020127,23.79
7259037.34,228243614.76,750984.52,356050.06,1659564022698,23.79
7262036.95,228244149.65,751114.32,356072.71,1659564025647,23.79
7298653.59,228198675.80,753360.57,354218.21,1659564171605,23.77
7266242.32,228198744.29,751995.80,354224.08,1659564175629,23.76
7279455.77,228202241.93,752556.68,354373.33,1659564178015,23.76
7270680.38,228196735.24,752186.07,354141.79,1659564181067,23.76
7275822.50,228200862.70,752366.13,354353.79,1659564330850,23.76
7291516.21,228215854.56,753028.06,354984.59,1659564333324,23.76
